PR,URL,Title,Content type,Is rendered page,HTTP status code,Crawl datetime,Depth,Loading time (ms),Size (bytes),No. of href inlinks,No. of internal outlinks
0,https://aiworkshop.ch/de/assessment/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:00:14,0,303,3808,0,7
0,https://aiworkshop.ch/fr/assessment/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:00:11,0,257,3808,0,7
0,https://aiworkshop.ch/en/assessment/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:00:09,0,259,3808,0,7
0,https://aiworkshop.ch/it/learn-interactive-exercises/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:00:08,0,282,3808,0,7
0,https://aiworkshop.ch/de/learn-interactive-exercises/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:00:05,0,260,3808,0,7
0,https://aiworkshop.ch/fr/learn-interactive-exercises/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:00:03,0,257,3808,0,7
0,https://aiworkshop.ch/en/learn-interactive-exercises/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 10:00:01,0,257,3808,0,7
0,https://aiworkshop.ch/it/learn-ai-tools-directory/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:59,0,257,3808,0,7
0,https://aiworkshop.ch/fr/learn-ai-tools-directory/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:58,0,263,3808,0,7
0,https://aiworkshop.ch/de/learn-ai-tools-directory/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:57,0,257,3808,0,7
0,https://aiworkshop.ch/en/learn-ai-tools-directory/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:53,0,258,3808,0,7
0,https://aiworkshop.ch/it/learn-ai-tools/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:52,0,352,3808,0,7
0,https://aiworkshop.ch/de/learn-ai-tools/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:49,0,258,3808,0,7
0,https://aiworkshop.ch/fr/learn-ai-tools/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:47,0,257,3808,0,7
0,https://aiworkshop.ch/en/learn-ai-tools/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:45,0,258,3808,0,7
0,https://aiworkshop.ch/it/learn-llm-players/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:43,0,257,3808,0,7
0,https://aiworkshop.ch/de/learn-llm-players/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:41,0,258,3808,0,7
0,https://aiworkshop.ch/fr/learn-llm-players/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:39,0,257,3808,0,7
0,https://aiworkshop.ch/de/learn-generative-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:38,0,4420,3808,0,7
0,https://aiworkshop.ch/en/learn-llm-players/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:37,0,258,3808,0,7
0,https://aiworkshop.ch/it/learn-generative-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:35,0,257,3808,0,7
0,https://aiworkshop.ch/fr/learn-generative-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:32,0,266,3808,0,7
0,https://aiworkshop.ch/en/learn-generative-ai/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:29,0,258,3808,0,7
0,https://aiworkshop.ch/it/learn-foundation-models/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:27,0,256,3808,0,7
0,https://aiworkshop.ch/de/learn-foundation-models/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:25,0,259,3808,0,7
0,https://aiworkshop.ch/fr/learn-foundation-models/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:23,0,259,3808,0,7
0,https://aiworkshop.ch/en/learn-foundation-models/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:21,0,259,3808,0,7
0,https://aiworkshop.ch/it/learn-neural-networks/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:19,0,260,3808,0,7
0,https://aiworkshop.ch/de/learn-neural-networks/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:17,0,257,3808,0,7
0,https://aiworkshop.ch/fr/learn-neural-networks/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:15,0,257,3808,0,7
0,https://aiworkshop.ch/it/learn-deep-learning/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:14,0,258,3808,0,7
0,https://aiworkshop.ch/en/learn-neural-networks/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:13,0,257,3808,0,7
0,https://aiworkshop.ch/de/learn-deep-learning/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:10,0,932,3808,0,7
0,https://aiworkshop.ch/fr/learn-deep-learning/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:07,0,258,3808,0,7
0,https://aiworkshop.ch/en/learn-deep-learning/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:05,0,257,3808,0,7
0,https://aiworkshop.ch/it/learn-machine-learning/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:03,0,260,3808,0,7
0,https://aiworkshop.ch/de/learn-machine-learning/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:59:01,0,259,3808,0,7
0,https://aiworkshop.ch/fr/learn-machine-learning/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:59,0,264,3808,0,7
0,https://aiworkshop.ch/en/learn-machine-learning/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:57,0,258,3808,0,7
0,https://aiworkshop.ch/it/learn-intelligence/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:55,0,261,3808,0,7
0,https://aiworkshop.ch/de/learn-intelligence/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:53,0,258,3808,0,7
0,https://aiworkshop.ch/fr/learn-intelligence/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:51,0,257,3808,0,7
0,https://aiworkshop.ch/en/learn-intelligence/,AI Workshop Switzerland - Expert Corporate AI Training & Workshops,text/html,false,200,2025-09-12 09:58:49,0,258,3808,0,7
